NAZEV SOUBORU                        |           VELIKOST          |           PIXELS          |   byte/ pixel      
datasets/scan_book/compressed/CCBG83053_9.jp2 | 45067049B | 33660000px | 1.33889034462
datasets/scan_book/compressed/CCBG83004_7.jp2 | 40898811B | 33660000px | 1.21505677362
datasets/scan_book/compressed/CCBG83037_8.jp2 | 47354939B | 33660000px | 1.40686093286
datasets/scan_book/compressed/CCBG83015_1.jp2 | 54036448B | 33660000px | 1.60536090315
datasets/scan_book/compressed/CCBG83006_6.jp2 | 41948364B | 33660000px | 1.24623778966
datasets/scan_book/compressed/CCBG83221_6.jp2 | 37437738B | 33660000px | 1.11223226381
datasets/scan_book/compressed/CCBG83023_4.jp2 | 43428945B | 33660000px | 1.2902241533
datasets/scan_book/compressed/CCBG83047_4.jp2 | 48447150B | 33660000px | 1.43930926916
datasets/scan_book/compressed/CCBG83005_8.jp2 | 46890510B | 33660000px | 1.39306327986
datasets/scan_book/compressed/CCBG83009_2.jp2 | 52922202B | 33660000px | 1.57225793226
datasets/scan_book/compressed/CCBG83047_2.jp2 | 49245261B | 33660000px | 1.46302023173
datasets/scan_book/compressed/CCBG83047_5.jp2 | 48428553B | 33660000px | 1.43875677362
datasets/scan_book/compressed/CCBG83003_7.jp2 | 45710291B | 33660000px | 1.3580003268
datasets/scan_book/compressed/CCBG83035_1.jp2 | 50798702B | 33660000px | 1.50917118241
datasets/scan_book/compressed/CCBG83224_6.jp2 | 43776466B | 33660000px | 1.30054860368
datasets/scan_book/compressed/CCBG83019_6.jp2 | 46342218B | 33660000px | 1.3767741533
datasets/scan_book/compressed/CCBG83045_6.jp2 | 44054816B | 33660000px | 1.30881806298
datasets/scan_book/compressed/CCBG83221_2.jp2 | 38935227B | 33660000px | 1.15672094474
datasets/scan_book/compressed/CCBG83015_9.jp2 | 41141458B | 33660000px | 1.22226553773
datasets/scan_book/compressed/CCBG83035_6.jp2 | 38428137B | 33660000px | 1.14165588235
datasets/scan_book/compressed/CCBG83055_1.jp2 | 56625331B | 33660000px | 1.68227364825
datasets/scan_book/compressed/CCBG83055_7.jp2 | 48225251B | 33660000px | 1.43271690434
datasets/scan_book/compressed/CCBG83033_1.jp2 | 64106797B | 33660000px | 1.90453942365
datasets/scan_book/compressed/CCBG83002_8.jp2 | 43482606B | 33660000px | 1.29181836007
datasets/scan_book/compressed/CCBG83011_2.jp2 | 41376213B | 33660000px | 1.22923983957
datasets/scan_book/compressed/CCBG83044_6.jp2 | 40310714B | 33660000px | 1.19758508616
datasets/scan_book/compressed/CCBG83019_1.jp2 | 57442353B | 33660000px | 1.70654643494
datasets/scan_book/compressed/CCBG83221_4.jp2 | 37452250B | 33660000px | 1.11266339869
datasets/scan_book/compressed/CCBG83089_6.jp2 | 38810253B | 33660000px | 1.15300811052
datasets/scan_book/compressed/CCBG83035_8.jp2 | 38425207B | 33660000px | 1.14156883541
datasets/scan_book/compressed/CCBG83021_1.jp2 | 63913094B | 33660000px | 1.89878472965
datasets/scan_book/compressed/CCBG83023_5.jp2 | 43406702B | 33660000px | 1.28956333928
datasets/scan_book/compressed/CCBG83222_6.jp2 | 37312286B | 33660000px | 1.10850522876
datasets/scan_book/compressed/CCBG83045_7.jp2 | 44052544B | 33660000px | 1.30875056447
datasets/scan_book/compressed/CCBG83090_3.jp2 | 41106306B | 33660000px | 1.22122121212
datasets/scan_book/compressed/CCBG83089_2.jp2 | 40601238B | 33660000px | 1.20621622103
datasets/scan_book/compressed/CCBG83035_2.jp2 | 40316435B | 33660000px | 1.19775505051
datasets/scan_book/compressed/CCBG83014_6.jp2 | 46923716B | 33660000px | 1.39404979204
datasets/scan_book/compressed/CCBG83040_8.jp2 | 49127052B | 33660000px | 1.4595083779
datasets/scan_book/compressed/CCBG83065_1.jp2 | 57056619B | 33660000px | 1.69508672014
datasets/scan_book/compressed/CCBG83002_9.jp2 | 43482565B | 33660000px | 1.29181714201
datasets/scan_book/compressed/CCBG83223_5.jp2 | 53139492B | 33660000px | 1.57871336898
datasets/scan_book/compressed/CCBG83025_5.jp2 | 39644072B | 33660000px | 1.17777991682
datasets/scan_book/compressed/CCBG83002_5.jp2 | 43491626B | 33660000px | 1.29208633393
datasets/scan_book/compressed/CCBG83014_4.jp2 | 47018613B | 33660000px | 1.39686907308
datasets/scan_book/compressed/CCBG83025_7.jp2 | 39637297B | 33660000px | 1.17757863933
datasets/scan_book/compressed/CCBG83019_8.jp2 | 46339649B | 33660000px | 1.37669783125
datasets/scan_book/compressed/CCBG83004_2.jp2 | 42011782B | 33660000px | 1.24812186572
datasets/scan_book/compressed/CCBG83004_9.jp2 | 40898122B | 33660000px | 1.21503630422
datasets/scan_book/compressed/CCBG83027_3.jp2 | 51966522B | 33660000px | 1.5438657754
datasets/scan_book/compressed/CCBG83221_9.jp2 | 37435131B | 33660000px | 1.11215481283
datasets/scan_book/compressed/CCBG83014_7.jp2 | 46918547B | 33660000px | 1.39389622698
datasets/scan_book/compressed/CCBG83006_7.jp2 | 41947432B | 33660000px | 1.24621010101
datasets/scan_book/compressed/CCBG83011_1.jp2 | 53171502B | 33660000px | 1.57966434938
datasets/scan_book/compressed/CCBG83031_9.jp2 | 45690497B | 33660000px | 1.35741226976
datasets/scan_book/compressed/CCBG83017_1.jp2 | 52778451B | 33660000px | 1.5679872549
datasets/scan_book/compressed/CCBG83037_3.jp2 | 47530630B | 33660000px | 1.41208051099
datasets/scan_book/compressed/CCBG83040_7.jp2 | 49127701B | 33660000px | 1.45952765894
datasets/scan_book/compressed/CCBG83028_6.jp2 | 37966915B | 33660000px | 1.12795350564
datasets/scan_book/compressed/CCBG83025_6.jp2 | 39639041B | 33660000px | 1.17763045157
datasets/scan_book/compressed/CCBG83065_9.jp2 | 44377776B | 33660000px | 1.31841283422
datasets/scan_book/compressed/CCBG83004_5.jp2 | 40908337B | 33660000px | 1.21533978015
datasets/scan_book/compressed/CCBG83027_2.jp2 | 52716023B | 33660000px | 1.56613259061
datasets/scan_book/compressed/CCBG83040_5.jp2 | 49134233B | 33660000px | 1.45972171717
datasets/scan_book/compressed/CCBG83015_7.jp2 | 41142159B | 33660000px | 1.22228636364
datasets/scan_book/compressed/CCBG83072_6.jp2 | 51074753B | 33660000px | 1.51737234106
datasets/scan_book/compressed/CCBG83090_8.jp2 | 40893829B | 33660000px | 1.21490876411
datasets/scan_book/compressed/CCBG83037_5.jp2 | 47372430B | 33660000px | 1.40738057041
datasets/scan_book/compressed/CCBG83073_4.jp2 | 39036148B | 33660000px | 1.15971919192
datasets/scan_book/compressed/CCBG83072_1.jp2 | 65054217B | 33660000px | 1.93268618538
datasets/scan_book/compressed/CCBG83028_5.jp2 | 37975054B | 33660000px | 1.128195306
datasets/scan_book/compressed/CCBG83035_3.jp2 | 38664575B | 33660000px | 1.14868018419
datasets/scan_book/compressed/CCBG83053_2.jp2 | 45326813B | 33660000px | 1.34660763518
datasets/scan_book/compressed/CCBG83037_6.jp2 | 47359852B | 33660000px | 1.40700689245
datasets/scan_book/compressed/CCBG83009_1.jp2 | 62583907B | 33660000px | 1.85929610814
datasets/scan_book/compressed/CCBG83042_6.jp2 | 40155882B | 33660000px | 1.19298520499
datasets/scan_book/compressed/CCBG83035_4.jp2 | 38459849B | 33660000px | 1.14259800951
datasets/scan_book/compressed/CCBG83044_1.jp2 | 53467503B | 33660000px | 1.58845819964
datasets/scan_book/compressed/CCBG83044_7.jp2 | 40309029B | 33660000px | 1.19753502674
datasets/scan_book/compressed/CCBG83002_7.jp2 | 43482927B | 33660000px | 1.29182789661
datasets/scan_book/compressed/CCBG83011_3.jp2 | 39573068B | 33660000px | 1.1756704694
datasets/scan_book/compressed/CCBG83027_4.jp2 | 51908602B | 33660000px | 1.54214503862
datasets/scan_book/compressed/CCBG83009_4.jp2 | 52184399B | 33660000px | 1.55033865122
datasets/scan_book/compressed/CCBG83029_8.jp2 | 51241035B | 33660000px | 1.52231238859
datasets/scan_book/compressed/CCBG83003_5.jp2 | 45718336B | 33660000px | 1.35823933452
datasets/scan_book/compressed/CCBG83067_5.jp2 | 45974965B | 33660000px | 1.36586348782
datasets/scan_book/compressed/CCBG83067_2.jp2 | 47124500B | 33660000px | 1.40001485443
datasets/scan_book/compressed/CCBG83223_7.jp2 | 53125221B | 33660000px | 1.57828939394
datasets/scan_book/compressed/CCBG83011_8.jp2 | 39240666B | 33660000px | 1.16579518717
datasets/scan_book/compressed/CCBG83067_4.jp2 | 45997844B | 33660000px | 1.36654319667
datasets/scan_book/compressed/CCBG83055_5.jp2 | 48230646B | 33660000px | 1.4328771836
datasets/scan_book/compressed/CCBG83053_6.jp2 | 45068728B | 33660000px | 1.33894022579
datasets/scan_book/compressed/CCBG83042_1.jp2 | 54251847B | 33660000px | 1.61176016043
datasets/scan_book/compressed/CCBG83002_6.jp2 | 43484020B | 33660000px | 1.29186036839
datasets/scan_book/compressed/CCBG83021_2.jp2 | 51267230B | 33660000px | 1.523090612
datasets/scan_book/compressed/CCBG83045_4.jp2 | 44091550B | 33660000px | 1.309909388
datasets/scan_book/compressed/CCBG83002_3.jp2 | 43784399B | 33660000px | 1.30078428402
datasets/scan_book/compressed/CCBG83006_4.jp2 | 41961248B | 33660000px | 1.24662055853
datasets/scan_book/compressed/CCBG83028_8.jp2 | 37963830B | 33660000px | 1.12786185383
datasets/scan_book/compressed/CCBG83033_9.jp2 | 50079783B | 33660000px | 1.48781292335
datasets/scan_book/compressed/CCBG83033_6.jp2 | 50081861B | 33660000px | 1.48787465835
datasets/scan_book/compressed/CCBG83053_1.jp2 | 51498327B | 33660000px | 1.52995623886
datasets/scan_book/compressed/CCBG83020_1.jp2 | 51495148B | 33660000px | 1.52986179441
datasets/scan_book/compressed/CCBG83031_4.jp2 | 45723956B | 33660000px | 1.35840629828
datasets/scan_book/compressed/CCBG83090_5.jp2 | 40904456B | 33660000px | 1.2152244801
datasets/scan_book/compressed/CCBG83044_4.jp2 | 40338153B | 33660000px | 1.19840026738
datasets/scan_book/compressed/CCBG83223_3.jp2 | 53301433B | 33660000px | 1.58352445039
datasets/scan_book/compressed/CCBG83033_8.jp2 | 50079783B | 33660000px | 1.48781292335
datasets/scan_book/compressed/CCBG83042_2.jp2 | 42185267B | 33660000px | 1.25327590612
datasets/scan_book/compressed/CCBG83089_3.jp2 | 39067621B | 33660000px | 1.16065421866
datasets/scan_book/compressed/CCBG83045_1.jp2 | 55764082B | 33660000px | 1.6566869281
datasets/scan_book/compressed/CCBG83053_5.jp2 | 45074554B | 33660000px | 1.33911330957
datasets/scan_book/compressed/CCBG83221_1.jp2 | 48313409B | 33660000px | 1.43533597742
datasets/scan_book/compressed/CCBG83004_3.jp2 | 41012761B | 33660000px | 1.21844209745
datasets/scan_book/compressed/CCBG83033_5.jp2 | 50086489B | 33660000px | 1.48801215092
datasets/scan_book/compressed/CCBG83006_3.jp2 | 42129260B | 33660000px | 1.25161200238
